 name,kana,area,type,business_hours,holiday,budget,phone,address,website,gmap_url,description,opening_hours
華灯,ハナビ,歌舞伎町,キャバクラ,20:00～LAST,日曜,"60分 12,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-5291-5350,東京都新宿区歌舞伎町2-10-7  ダイヤモンドビル 1F,https://www.caba2.net/s/6105,https://www.google.com/maps/search/?api=1&query=%E8%8F%AF%E7%81%AF+%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA2-10-7,"和を基調とした豪華な店内環境と洗練された美女軍団が最高のサービスをご提供します。
業界でも激戦区の歌舞伎町エリアでキャストの質もスタッフサービスもワンランク上の
ハイクオリティな空間を提供いたします。
歌舞伎町で話題をさらうこと間違いなしの同店へ是非…お越し下さいませ。","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 20時00分～1時00分 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
SoloMON,ソロモン,歌舞伎町,キャバクラ,21:00～LAST,日曜,"60分 9,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-3232-6560,東京都新宿区歌舞伎町1-3-11  梅村ビル2F,https://www.caba2.net/s/11267,https://www.google.com/maps/search/?api=1&query=SoloMON+%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-3-11,"スタイリッシュなラウンジスタイルのキャバクラ【SoloMON - ソロモン - 】
上質でモダンなインテリアを使った空間で特別なひと時を楽しめます。
いつもと違ったシーンにも対応するスイートを完備。
スイートにはB&B italiaの家具を使用したレイアウトで高級感たっぷり。
ラウンジのように優雅な時間を堪能して頂けます。",
revju,レヴュー,歌舞伎町,キャバクラ,20:00～LAST,日曜,"60分 12,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-5155-9577,東京都新宿区歌舞伎町2-10-7  ダイヤモンドビル B2F,https://www.caba2.net/s/3412,https://www.google.com/maps/search/?api=1&query=revju+%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA2-10-7,"日本一の歓楽街歌舞伎町で安定的な人気を誇るお店といえばレヴュー！
ゴールド・赤・黒を基調にしたゴージャスな内装に、目の肥えた歌舞伎町のお客様を満足させる選び抜かれたキャスト達が非日常的な極上の空間へとお連れ致します。
最高級のキャストとベテランスタッフ一同がお客様のご来店を心よりお待ちしております。",
PUREMIE -Ginza-,プレミエ,銀座,エンターテインメント&ショークラブ,20:00～2:00,日曜,"90分 3,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6264-6709,東京都中央区銀座8-2-1  ニッタビル 8F,https://www.caba2.net/s/11208,https://www.google.com/maps/search/?api=1&query=PUREMIE+-Ginza-+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-2-1,"銀座最大級のエンタメショークラブ『PREMIE-Ginza-（プレミエ）』☆
銀座最大級のエンターテインメント＆ショークラブです。
スタイリッシュでありながら居心地の良い空間で、ダンスや音響、お酒を楽しめる時間を過ごしていただきます。今までとは全く違う新しい価値をもたらす高級ショークラブとして誕生しました。ショーダンス、ポールダンス、レギュラーショーが1日４回、その他、定期的に人気なDJやラッパーをGUESTとしてサプライズショーを開催することもあります。PUREMIEはサウンドにこだわり、最高峰レベルのスピーカーを採用しました。セクシーなショーはもちろん、体の芯まで響く音をお届けします。PUREMIEでしか体感できない、最上のショー世界をご堪能ください。","木曜日: 21時00分～4時00分
金曜日: 21時00分～4時00分
土曜日: 21時00分～4時00分
日曜日: 定休日 時間変更の可能性
月曜日: 21時00分～4時00分 時間変更の可能性
火曜日: 21時00分～4時00分
水曜日: 21時00分～4時00分"
GLARE,グレア,湯島,キャバクラ,20:00～1:00,月曜・日曜,"60分 7,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6284-3051,東京都台東区上野2丁目10-4  池之端会館ビルB1F-F号,https://www.caba2.net/s/11315,https://www.google.com/maps/search/?api=1&query=GLARE+%E6%B9%AF%E5%B3%B6+%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E4%B8%8A%E9%87%8E2%E4%B8%81%E7%9B%AE10-4,"落ち着いた雰囲気が魅力の高級姉キャバ【GLARE - グレア - 】
選りすぐりの美女達がおもてなしをする高級姉キャバ。
店内の内装はシックかつ高級感たっぷり。
特別な夜を洗練されたキャスト達と楽しめます。","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 20時00分～1時00分 時間変更の可能性
月曜日: 20時00分～1時00分 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
WMWM,ウェーブ,歌舞伎町,キャバクラ,20:30～LAST,日曜,"60分 7,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-3203-1122,東京都新宿区歌舞伎町2-26-3  互福ビルB1F,https://www.caba2.net/s/5801,https://www.google.com/maps/search/?api=1&query=WMWM+%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA2-26-3,"歌舞伎町で隠れ家的店舗で人気のWMWM『ウェーブ』
☆現代的なデザインでシックかつスタイリッシュで洗練されたデザインの内装と煌びやかなキャストがあなたを異次元空間へと誘います。","木曜日: 0時00分～6時00分20時30分～0時00分
金曜日: 0時00分～6時00分20時30分～0時00分
土曜日: 0時00分～6時00分20時30分～0時00分
日曜日: 0時00分～6時00分20時30分～0時00分 時間変更の可能性
月曜日: 0時00分～6時00分20時30分～0時00分 時間変更の可能性
火曜日: 0時00分～6時00分20時30分～0時00分
水曜日: 0時00分～6時00分20時30分～0時00分"
ZOO TOKYO,ズートウキョウ,六本木,zoo,19:00～LAST,日曜,"60分 6,600円〜 
                                    
                                                                                    (税込) (税込)",03-5770-3211,"東京都港区六本木3-14-11  ケントスビル 2F,3F,4F",https://www.caba2.net/s/73,https://www.google.com/maps/search/?api=1&query=ZOO+TOKYO+%E5%85%AD%E6%9C%AC%E6%9C%A8+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%85%AD%E6%9C%AC%E6%9C%A83-14-11,"日本最大級のフロア面積を誇る六本木「Zoo TOKYO」
いまだかつてないお洒落で豪華な店内、お客様の数、在籍キャスト数も日本トップクラス！圧倒的なスケールを持つお店です!!
本物を体感したいお客様は是非一度お越しくださいませ、最上級のひと時をご提供させて頂きます。","木曜日: 19時00分～1時00分
金曜日: 19時00分～1時00分
土曜日: 19時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 19時00分～1時00分 時間変更の可能性
火曜日: 19時00分～1時00分
水曜日: 19時00分～1時00分"
ETERNA,エテルナ,歌舞伎町,キャバクラ,20:00～LAST,日曜,"60分 10,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-3205-7880,東京都新宿区歌舞伎町1-4-12  新宿ミヤタビル 2F,https://www.caba2.net/s/5874,"https://www.google.com/maps/place/%E6%96%B0%E5%AE%BF%E3%83%9F%E3%83%A4%E3%82%BF%E3%83%93%E3%83%AB(%E3%83%8A%E3%82%AB%E3%83%A8%E3%82%B7%E3%83%93%E3%83%AB)/@35.6941593,139.7012177,17z/data=!3m2!4b1!5s0x60188cd99fa160ff:0xd8554742b042172b!4m6!3m5!1s0x60188d7b644d6e49:0x2aad6cd7c5da9adb!8m2!3d35.694155!4d139.7037926!16s%2Fg%2F11kb2d2ddn?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D","ラグジュアリー感溢れる貴方だけの特別な空間を是非アナタへ...ETERNA（エテルナ）
大手グループ経営の高級感漂うラグジュアリーでハイクオリティな空間に多彩なキャストが在籍☆全ての欲求を満たすリラクゼーションスペースが、歌舞伎町の夜をアツくする！",
-CLUB- EVE（朝）,イヴ,池袋駅（西口）,朝・昼キャバクラ,6:00～15:00,年中無休,"60分 6,600円
                                    
                                                                                    (税込) (税込)",050-7586-4148,東京都豊島区池袋2-42-8  幸運館ビル 3F,https://www.caba2.net/s/6654,"https://www.google.com/maps/place/%E3%83%A9%E3%82%A6%E3%83%B3%E3%82%B8+EVE/@35.7336692,139.7049949,17z/data=!3m2!4b1!5s0x60188d5e43892191:0xf41105b7b2dbfd68!4m6!3m5!1s0x60188d92d2a29679:0x65272f2baed2b8a8!8m2!3d35.7336649!4d139.7098658!16s%2Fg%2F11l31_cnzp?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D","池袋で人気の朝営業のキャバクラ 【-CLUB- EVE（イヴ）】★
高級感漂うラグジュアリークラブ【-CLUB- EVE（イヴ）】。ハイレベルなキャストのおもてなしで朝からの優雅なひとときをお過ごし下さい。",
RIO,リオ,歌舞伎町,キャバクラ,20:00～LAST,月曜,"60分 10,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6233-8162,東京都新宿区歌舞伎町１丁目３−５  相模観光ビルイーストプラザ B2F,https://www.caba2.net/s/6666,https://www.google.com/maps/search/?api=1&query=RIO+%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%93%E2%88%92%EF%BC%95,"歌舞伎町の隠れ家的キャバクラ洗練されたスタイリッシュな空間「RIO(リオ)」
新宿駅東口徒歩7分、歌舞伎町の喧騒をかき分けて進むと見えてくるのが「RIO(リオ)」です。
洗練されたスタイリッシュな空間は非常に居心地が良く、店内はゆっくりとした時間が流れます。
セクシーで華やかなドレスを着た様々なタイプのハイレベルなキャスト達がお客様に癒しのお時間をご提供させて頂きます。
歌舞伎町にお越しの際は是非ご来店下さいませ。","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 20時00分～1時00分 時間変更の可能性
月曜日: 定休日 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
VENET TOKYO SHINJUKU,ベネトウキョウ,歌舞伎町,キャバクラ,20:00～LAST,日曜・祝祭日,"60分 8,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-5273-2424,東京都新宿区歌舞伎町2-10-8  歌舞伎町ゆきざきビル5F,https://www.caba2.net/s/11422,https://www.google.com/maps/search/?api=1&query=VENET+TOKYO+SHINJUKU+%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA2-10-8,"キャバクラひしめく新宿エリアで「質」を求めるなら【VENET TOKYO SHINJUKU - ベネトウキョウ - 】
歌舞伎町でも他の追随を許さない程の人気を獲得しているベネトウキョウ。
中世ヨーロッパ風の内装が特別な空間を演出します。
何回通ったとしても底が見えないラグジュアリーさと濃密な時間を提供致します。","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 定休日 祝休日の営業時間
月曜日: 定休日 祝休日の営業時間
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
The Emperors Club,エンペラーズクラブ,北千住,キャバクラ,19:00～LAST,日曜,"60分 5,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-5284-8918,東京都足立区千住3-36  桝屋ビル 3F,https://www.caba2.net/s/6226,https://www.google.com/maps/search/?api=1&query=The+Emperors+Club+%E5%8C%97%E5%8D%83%E4%BD%8F+%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B6%B3%E7%AB%8B%E5%8C%BA%E5%8D%83%E4%BD%8F3-36,"VIPルームも完備♪おしゃれな店内で素敵な夜を「エンペラーズクラブ」
北千住駅から徒歩3分にあるエンペラーズクラブは、豪華でおしゃれな内装とVIPルームを完備した素敵なお店です♪
選び抜かれたキャストはレベルが高く、とにかくかわいい女の子ばかり♡もちろん最高の接客で素敵な夜をエスコートしてくれます。時間を忘れて楽しいひとときを過ごせること間違いなしのエンペラーズクラブおすすめのお店です！",
CLUB Epic,エピック,上野,キャバクラ,20:00～LAST,日曜,"60分 8,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-5816-1933,東京都台東区上野2-8-4  日栄ビル一番館 3F,https://www.caba2.net/s/3748,https://www.google.com/maps/search/?api=1&query=CLUB+Epic+%E4%B8%8A%E9%87%8E+%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E4%B8%8A%E9%87%8E2-8-4,"上野エリアの超人気店【Club Epic－エピック】※コロナ対策も万全です！
上質な高級感漂う店内に、上野エリアTOPクラスの質を誇るキャスト達が時間を忘れてしまう程の優雅なひと時をお客様にご提供させて頂きます。
上野にお立ち寄りの際は是非ご来店下さいませ。","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 20時00分～1時00分 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
Chou Chou UENO,シュシュ,上野,キャバクラ,17:30～1:00,年中無休,"40分 4,680円〜 
                                    
                                                                                    (税・サ込) (税・サ込)",03-5818-0333,東京都台東区上野2-12-3  大国屋ビル 2F,https://www.caba2.net/s/1009,https://www.google.com/maps/search/?api=1&query=Chou+Chou+UENO+%E4%B8%8A%E9%87%8E+%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8F%B0%E6%9D%B1%E5%8C%BA%E4%B8%8A%E9%87%8E2-12-3,"上野の女子大生キャバクラ♡Chou Chou Ueno〜シュシュ上野店〜☆
現役の女子大生のみで構成された上野の人気キャバクラ☆セクシーなミニスカから伸びる美脚たちを堪能できるとあって人気なのなんて当たり前♪リーズナブルな価格からご利用できますので上野お立ち寄りの際にはぜひご来店くださいませ♡","木曜日: 17時30分～1時00分
金曜日: 17時30分～1時00分
土曜日: 17時30分～1時00分
日曜日: 17時30分～1時00分 時間変更の可能性
月曜日: 17時30分～1時00分 時間変更の可能性
火曜日: 17時30分～1時00分
水曜日: 17時30分～1時00分"
FOUR SEASONS,フォーシーズン,渋谷,キャバクラ,20:00～LAST,日曜,"60分 11,000円〜 
                                    
                                                                                    (税込) (税込)",03-6427-8157,東京都渋谷区宇多川町26-4  Lu82ビル 5F/6F,https://www.caba2.net/s/11316,https://www.google.com/maps/search/?api=1&query=FOUR+SEASONS+%E6%B8%8B%E8%B0%B7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E5%AE%87%E5%A4%9A%E5%B7%9D%E7%94%BA26-4,"渋谷最大級の大手経営店『FOUR SEASONS-フォーシーズン-』☆
渋谷エリアトップクラスの高級キャバクラ誕生！広大3フロアにわたるラグジュアリー空間☆渋谷のイメージを一新する他にはない高級空間。皆様のご来店心よりお待ちしております。","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 20時00分～1時00分 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
キミとろぐいん。,キミトログイン,歌舞伎町,コンカフェ＆バー,12:00～LAST,年中無休,"40分 3,000円
                                    
                                                                                    (税・サ別) (税・サ別)",090-2144-9604,東京都新宿区歌舞伎町1-22-9  Jゴールドビル 2F,https://www.caba2.net/s/6879,https://www.google.com/maps/search/?api=1&query=%E3%82%AD%E3%83%9F%E3%81%A8%E3%82%8D%E3%81%90%E3%81%84%E3%82%93%E3%80%82+%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-22-9,"「2.5次元」×「バーチャルアイドル」が織りなすあなただけのセカイへ。『キミとろぐいん。』
2022年を締めくくる新世代の誕生。歌舞伎町に一筋の光を指すコンセプトカラーは白。ネットのセカイから飛び出したあなただけのアイドル育成コンカフェ☆SNSで見ていたあの子に会えるセカイ線を今ここに。","木曜日: 12時00分～5時00分
金曜日: 12時00分～5時00分
土曜日: 12時00分～5時00分
日曜日: 12時00分～5時00分 時間変更の可能性
月曜日: 12時00分～5時00分 時間変更の可能性
火曜日: 12時00分～5時00分
水曜日: 12時00分～5時00分"
XEE,ジー,六本木,キャバクラ,19:00～1:00,年中無休,"60分 13,200円〜 
                                    
                                                                                    (税込) (税込)",03-6455-5225,東京都港区六本木3丁目8-15  六本木日拓ビル　2階,https://www.caba2.net/s/11299,https://www.google.com/maps/search/?api=1&query=XEE+%E5%85%AD%E6%9C%AC%E6%9C%A8+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%85%AD%E6%9C%AC%E6%9C%A83%E4%B8%81%E7%9B%AE8-15,"エリアトップクラスの広さを誇る【XEE - ジー - 】
超有名グループが打ち出す次の一手は六本木へ！
2フロアと超豪華なフロアを誇り話題性はバツグン。
内装には数億円をかけ他の追随を許さない圧倒的な仕上がりとなっています！
六本木で夢のような一夜を過ごしたいならぜひXEEへ。",
Girl’s BAR revju:,レヴュー,歌舞伎町,ガールズバー,20:00～5:00,日曜,"60分 4,000円
                                    
                                                                                    (税・サ別) (税・サ別)",080-8849-2315,東京都新宿区新宿5-18-6  新井ビル3・4階,https://www.caba2.net/s/11116,https://www.google.com/maps/search/?api=1&query=Girl%E2%80%99s+BAR+revju%3A+%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF5-18-6,"人気キャストことみさんがプロデュースを務める【Girl's BAR revju: - レヴュー - 】
歌舞伎超の有名店【revju- レヴュー -】の人気キャスト「ことみ」さんがガールズバーをプロデュース！
ガールズバーらしからぬハイクオリティな空間で贅沢な夜をご堪能ください！",
TARO,タロ,池袋駅（西口）,キャバクラ,19:30～LAST,年中無休,"90分 10,000円〜 
                                    
                                                                                    (税・サ込) (税・サ込)",03-3986-7288,東京都豊島区西池袋1-41-8  グランド東京ビル B1F,https://www.caba2.net/s/176,https://www.google.com/maps/search/?api=1&query=TARO+%E6%B1%A0%E8%A2%8B%E9%A7%85%EF%BC%88%E8%A5%BF%E5%8F%A3%EF%BC%89+%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E8%A5%BF%E6%B1%A0%E8%A2%8B1-41-8,"池袋の超高級ラグジュアリーショークラブ『TARO・タロ』☆
キャスト在籍数も池袋トップクラス。神殿を連想させるメインフロアは、白基調でゴージャスにコーディネートされています。1日2回の本格的SHOW TIMEは、まるで神殿の女神達が舞うかの如く華麗で圧巻です！","木曜日: 19時30分～1時00分
金曜日: 19時30分～1時00分
土曜日: 19時30分～1時00分
日曜日: 19時30分～1時00分 時間変更の可能性
月曜日: 19時30分～1時00分 時間変更の可能性
火曜日: 19時30分～1時00分
水曜日: 19時30分～1時00分"
Orange Terrace,オレンジテラス,歌舞伎町,キャバクラ,20:00～LAST,月曜,"60分 8,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6233-8201,東京都新宿区歌舞伎町1-2-5  東陽ビル B1F,https://www.caba2.net/s/17,https://www.google.com/maps/search/?api=1&query=Orange+Terrace+%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-2-5,"歌舞伎町きってのオシャレな店内【Orange Terrace（オレンジテラス）】
そこはまるで西洋のオシャレなガーデンテラス☆ビルのワンフロアを使用した、規格外の壮大なスケール＆ゴージャスな店内、選りすぐりの美女達･･･。メルヘンチックな世界へとあなたを誘います。","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 20時00分～1時00分 時間変更の可能性
月曜日: 定休日 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
PHOENIX,フェニックス,池袋駅（東口）,キャバクラ,19:00～LAST,日曜,"60分 6,600円〜 
                                    
                                                                                    (税込) (税込)",03-3987-5341,東京都豊島区東池袋1-15-5  東洋興業ビル 1F,https://www.caba2.net/s/39,https://www.google.com/maps/search/?api=1&query=PHOENIX+%E6%B1%A0%E8%A2%8B%E9%A7%85%EF%BC%88%E6%9D%B1%E5%8F%A3%EF%BC%89+%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E6%9D%B1%E6%B1%A0%E8%A2%8B1-15-5,"エンターテインメントショークラブ池袋『PHOENIX(フェニックス)』★
他を圧倒する華やかさと存在感…。池袋に城を構える『フェニックス』は、その鮮麗なキャスト達と、魅惑のショータイムによって素晴らしい空間を演出するエンターティナークラブ☆50名以上のキャスト陣があなたをお迎えいたします。","木曜日: 19時00分～1時00分
金曜日: 19時00分～1時00分
土曜日: 19時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 19時00分～1時00分 時間変更の可能性
火曜日: 19時00分～1時00分
水曜日: 19時00分～1時00分"
愛執 おーばーどーず,オーバードーズ,歌舞伎町,コンカフェ＆バー,12:00～5:00,年中無休,"60分 5,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6457-6191,東京都新宿区歌舞伎町1-9-10  Ksビル 3F,https://www.caba2.net/s/11433,https://www.google.com/maps/search/?api=1&query=%E6%84%9B%E5%9F%B7+%E3%81%8A%E3%83%BC%E3%81%B0%E3%83%BC%E3%81%A9%E3%83%BC%E3%81%9A+%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-9-10,"2024年10月1日ついに開院♡愛執おーばーどーず💉
アイドル系の可愛いナース衣装の女の子たちがお客様をお給仕☆お店の内装もとってもキュートな仕様になってますのでテンションあがること間違いなし⤴︎⤴︎ぜひ一度見にきてね★",
AMATERAS,アマテラス,歌舞伎町,キャバクラ,20:00～LAST,日曜,"60分 10,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-3204-1248,東京都新宿区歌舞伎町2-23-12  チェックメイトビル B1F,https://www.caba2.net/s/7,https://maps.app.goo.gl/Hs5v9aQ8jy6zxxxKA,"歌舞伎町の夜を華麗に照らす御神が『AMATERAS-アマテラス』に舞い降りる。
全てにおいてハイクラスを誇る巨大なラグジュアリー空間で、妖艶で麗しき舞姫たちが、今宵もあなたを夢物語に誘います。",
Angel Feather,エンジェルフェザー,池袋駅（東口）,キャバクラ,19:00～LAST,日曜,"60分 6,600円〜 
                                    
                                                                                    (税込) (税込)",03-5985-7730,東京都豊島区東池袋1-4-2  三経33ビル 1F,https://www.caba2.net/s/109,https://www.google.com/maps/search/?api=1&query=Angel+Feather+%E6%B1%A0%E8%A2%8B%E9%A7%85%EF%BC%88%E6%9D%B1%E5%8F%A3%EF%BC%89+%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B1%8A%E5%B3%B6%E5%8C%BA%E6%9D%B1%E6%B1%A0%E8%A2%8B1-4-2,"全国規模で展開する有名ブランド店『Angel Fether』☆
全国に3店舗展開中の【Angel Feather(エンジェルフェザー)】!!上質な空間とクオリティーを維持しつつ【癒しと】＆【安らぎ】をお客様にご提供致します。","木曜日: 19時00分～1時00分
金曜日: 19時00分～1時00分
土曜日: 19時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 19時00分～1時00分 時間変更の可能性
火曜日: 19時00分～1時00分
水曜日: 19時00分～1時00分"
LUIAGUE,リュアーグ,歌舞伎町,キャバクラ,20:00～LAST,日曜,"60分 8,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6228-0315,東京都新宿区歌舞伎町1-10-8  台湾同郷協同組合ビル 1F&2F,https://www.caba2.net/s/19,https://www.google.com/maps/search/?api=1&query=LUIAGUE+%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA+%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-10-8,"圧倒的高級感、圧倒的集客力を誇る（LUIAGUE-リュアーグ）ワンランク上の上質な空間で優雅なひと時をお過ごしください。
☆2フロアにわたる広々とした豪華な店内と最高レベルのキャスト陣がアナタの素敵な夜を演出してくれます。
ここでしか味わうことのできない極上の時間を是非ご堪能ください。","木曜日: 20時00分～1時00分
金曜日: 20時00分～1時00分
土曜日: 20時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 20時00分～1時00分 時間変更の可能性
火曜日: 20時00分～1時00分
水曜日: 20時00分～1時00分"
神田茶屋,カンダチャヤ,神田,キャバクラ,18:00～LAST,日曜,"60分 7,150円〜 
                                    
                                                                                    (税込) (税込)",03-5289-7681,東京都千代田区内神田3-8-7  星座ビルB1F,https://www.caba2.net/s/27,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E7%94%B0%E8%8C%B6%E5%B1%8B+%E7%A5%9E%E7%94%B0+%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E5%86%85%E7%A5%9E%E7%94%B03-8-7,"全てにおいて他店を圧倒するハイレベル【神田茶屋 (カンダチャヤ) 】
神田で最大クラスの大型店舗がついに上陸!!歌舞伎町や六本木のクオリティを神田で実現、アナタの希望を叶えられるお店が神田にあります!!","木曜日: 19時00分～1時00分
金曜日: 19時00分～1時00分
土曜日: 19時00分～1時00分
日曜日: 定休日 時間変更の可能性
月曜日: 19時00分～1時00分 時間変更の可能性
火曜日: 19時00分～1時00分
水曜日: 19時00分～1時00分"
